layout,n_entities,location,write_path,max_workers,rep,dataset_key,tiled_version,tcb_sha,wall_s,entities,artifacts,skipped,art_failed,entities_per_s,artifacts_per_s,nodes_per_s,call_p50_ms,call_p95_ms,call_p99_ms,app_dur_p50_ms,app_dur_p95_ms
per_entity,1000,local,stock,8,2,regbench_per_entity_n1000_local_w8_r2_1787126090872,0.2.13,d0ab7f1,75.75184074603021,1000,1000,0,0,13.200999344064192,13.200999344064192,26.401998688128383,150.15045925974846,1119.4833116605878,2707.447157241404,148.5,1118.2
batched,10,local,stock,8,0,regbench_batched_n10_local_w8_r0_1787126178044,0.2.13,d0ab7f1,1.0056213745847344,10,10,0,0,9.9441004862585,9.9441004862585,19.888200972517,145.56994568556547,669.581038877368,768.3016080409288,139.5,664.4
batched,10,local,stock,8,1,regbench_batched_n10_local_w8_r1_1787126179159,0.2.13,d0ab7f1,0.8272408712655306,10,10,0,0,12.088377578227957,12.088377578227957,24.176755156455915,168.02060417830944,535.2117316797376,574.6840368956327,164.0,532.6
batched,10,local,stock,8,2,regbench_batched_n10_local_w8_r2_1787126180059,0.2.13,d0ab7f1,0.7840252323076129,10,10,0,0,12.75469154298403,12.75469154298403,25.50938308596806,165.0611748918891,543.4742532670498,626.7452035099268,163.9,542.4
batched,10,local,stock,8,3,regbench_batched_n10_local_w8_r3_1787126180928,0.2.13,d0ab7f1,1.169245956465602,10,10,0,0,8.552520489553809,8.552520489553809,17.105040979107617,128.84545233100653,934.245721437037,1038.4144941344857,127.9,932.8
batched,10,local,stock,8,4,regbench_batched_n10_local_w8_r4_1787126182185,0.2.13,d0ab7f1,0.7099655112251639,10,10,0,0,14.085191240829898,14.085191240829898,28.170382481659797,114.49314281344414,522.6990412920713,547.827985137701,113.4,521.1
batched,100,local,stock,8,0,regbench_batched_n100_local_w8_r0_1787126194292,0.2.13,d0ab7f1,7.098463129252195,100,100,0,0,14.087556444141837,14.087556444141837,28.175112888283675,134.1612720862031,1159.9277863278985,2087.2616237029433,132.7,1158.7
batched,100,local,stock,8,1,regbench_batched_n100_local_w8_r1_1787126201516,0.2.13,d0ab7f1,6.88454251177609,100,100,0,0,14.525293413316694,14.525293413316694,29.05058682663339,135.36023627966642,1165.1603039354086,1628.1398367136717,134.4,1162.5
batched,100,local,stock,8,2,regbench_batched_n100_local_w8_r2_1787126208486,0.2.13,d0ab7f1,6.964247996918857,100,100,0,0,14.359052125117069,14.359052125117069,28.718104250234138,137.46320828795433,955.3619157522917,2060.9269039705396,136.2,953.4
batched,100,local,stock,8,3,regbench_batched_n100_local_w8_r3_1787126215546,0.2.13,d0ab7f1,7.224323307164013,100,100,0,0,13.842126902160485,13.842126902160485,27.68425380432097,134.82862897217274,1024.2755878716707,1591.2060169503093,134.0,1023.2
batched,100,local,stock,8,4,regbench_batched_n100_local_w8_r4_1787126222848,0.2.13,d0ab7f1,7.09481802675873,100,100,0,0,14.094794203718996,14.094794203718996,28.18958840743799,166.94572288542986,1164.7747810930014,1803.316492587328,163.8,1163.8
batched,1000,local,stock,8,0,regbench_batched_n1000_local_w8_r0_1787126242141,0.2.13,d0ab7f1,84.24162683356553,1000,1000,0,0,11.870615960155655,11.870615960155655,23.74123192031131,173.93251042813063,1245.3593211248517,2595.205687917769,172.1,1243.9
batched,1000,local,stock,8,1,regbench_batched_n1000_local_w8_r1_1787126326531,0.2.13,d0ab7f1,75.49012818746269,1000,1000,0,0,13.246765160031599,13.246765160031599,26.493530320063197,154.1454941034317,1108.3693513646722,2618.147394619882,152.7,1107.2
batched,1000,local,stock,8,2,regbench_batched_n1000_local_w8_r2_1787126402141,0.2.13,d0ab7f1,76.98248388059437,1000,1000,0,0,12.989967971819086,12.989967971819086,25.97993594363817,154.81298603117466,1157.0963636040688,2683.666408061981,153.4,1155.9
